phrase,intensity,polarity,able_signals,geo_sa,neg_high_hits,neg_med_hits
Joburg professional burnout,1.5,distress,0,True,0,1
Cape Town burnout when rest fails,1.5,distress,0,True,0,1
Durban work stress recovery,1.5,constructive_pain,1,True,0,1
Gqeberha professional exhaustion,1.5,distress,0,True,0,1
Pretoria government stress burnout,3.0,distress,0,True,0,2
Randburg professional burnout,1.5,distress,0,True,0,1
Sandton high performer exhaustion,1.5,constructive_pain,1,True,0,1
why can't I recover from burnout,1.5,constructive_pain,1,False,0,1
why does rest not fix my exhaustion,1.5,distress,0,False,0,1
how long does executive burnout recovery take,1.5,constructive_pain,2,False,0,1
is it normal to feel this drained after sleep,3.0,distress,0,False,1,0
what is high functioning burnout,1.5,distress,0,False,0,1
how do I know if I have burnout or just stress,3.0,distress,0,False,0,2
can I recover from burnout without leaving my job,1.5,constructive_pain,1,False,0,1
why do I feel worse on Sunday nights,0.0,neutral_info,0,False,0,0
what helps burnout when sleep fails,1.5,distress,0,False,0,1
how to stop dreading Monday mornings,1.5,constructive_pain,2,False,0,1
I'm so tired of being tired,1.5,distress,0,False,0,1
I feel empty even after resting,3.0,distress,0,False,1,0
my energy never comes back,0.0,neutral_info,0,False,0,0
I fake being fine at work,0.0,neutral_info,0,False,0,0
everyone thinks I'm coping but I'm not,0.0,neutral_info,0,False,0,0
I have nothing left for my family after work,3.0,distress,0,False,1,0
I used to love my job now I just endure it,0.0,neutral_info,0,False,0,0
I'm running on fumes every day,0.0,neutral_info,0,False,0,0
I feel like a shell of myself,0.0,neutral_info,0,False,0,0
successful but completely depleted,0.0,neutral_info,0,False,0,0
how to stop overreacting to small things,1.5,constructive_pain,2,False,0,1
emotional triggers how to control,1.5,constructive_pain,2,False,0,1
why do I get so upset over minor things,0.0,neutral_info,0,False,0,0
how to stop reacting in arguments,0.0,agency,2,False,0,0
emotional regulation techniques for adults,0.0,neutral_info,0,False,0,0
stop exploding then regretting it,3.0,constructive_pain,1,False,1,0
why do I overreact when stressed,3.0,distress,0,False,0,2
how to stop snapping at people,3.0,constructive_pain,2,False,1,0
control emotional reactions at work,0.0,agency,1,False,0,0
why do small things set me off,0.0,neutral_info,0,False,0,0
emotional overreaction self help,1.5,constructive_pain,1,False,0,1
how to stay calm when triggered,1.5,constructive_pain,1,False,0,1
stop disproportionate reactions,0.0,agency,1,False,0,0
why am I so reactive lately,1.5,distress,0,False,0,1
how to not take things so personally,0.0,agency,1,False,0,0
emotional triggers from past stress,3.0,distress,0,False,0,2
how to respond instead of react,0.0,agency,1,False,0,0
calm under pressure techniques,1.5,distress,0,False,0,1
stop flying off the handle,0.0,agency,1,False,0,0
emotional self control for adults,0.0,agency,1,False,0,0
I explode over small things and hate myself after,6.0,high_distress,0,False,2,0
why do I react so big to tiny frustrations,0.0,neutral_info,0,False,0,0
I say things in anger I don't mean,0.0,neutral_info,0,False,0,0
I get triggered and lose control of my tone,1.5,constructive_pain,1,False,0,1
small comments set me off for hours,0.0,neutral_info,0,False,0,0
I overreact then spend the night regretting it,4.5,distress,0,False,1,1
my reactions are bigger than the situation,0.0,neutral_info,0,False,0,0
I want to stop being so reactive with my partner,1.5,constructive_pain,1,False,0,1
I snap at my kids and feel terrible,3.0,distress,0,False,1,0
I can't stay calm when someone criticizes me,0.0,neutral_info,0,False,0,0
I go from zero to furious in seconds,0.0,neutral_info,0,False,0,0
how do I stop emotional outbursts at work,0.0,agency,1,False,0,0
I know I'm overreacting but I can't stop in the moment,4.5,constructive_pain,1,False,1,1
my temper is costing me relationships,0.0,neutral_info,0,False,0,0
I need tools to stop reacting from old stress,1.5,constructive_pain,2,False,0,1
stop overreacting Johannesburg,1.5,constructive_pain,1,True,0,1
emotional triggers Cape Town,1.5,distress,0,True,0,1
how to stop snapping Durban,3.0,constructive_pain,2,True,1,0
emotional regulation Sandton,0.0,neutral_info,0,True,0,0
overreaction self help Gauteng,1.5,constructive_pain,1,True,0,1
calm under pressure Joburg professionals,1.5,distress,0,True,0,1
why do I overreact to everything,1.5,distress,0,False,0,1
how to stop emotional overreactions,1.5,constructive_pain,2,False,0,1
what causes disproportionate emotional reactions,0.0,neutral_info,0,False,0,0
how to control anger triggers,1.5,constructive_pain,2,False,0,1
why do I get so angry so fast,0.0,neutral_info,0,False,0,0
how to stop regretting what I say in arguments,3.0,constructive_pain,2,False,1,0
can I retrain my emotional reactions,0.0,neutral_info,0,False,0,0
why am I more reactive when tired,3.0,distress,0,False,0,2
I hate how I react when stressed,1.5,distress,0,False,0,1
I become someone I don't like under pressure,1.5,distress,0,False,0,1
my family walks on eggshells around me,0.0,neutral_info,0,False,0,0
I apologize after every blow up,0.0,neutral_info,0,False,0,0
I know the trigger is small but it feels huge,1.5,distress,0,False,0,1
I'm embarrassed by my reactions,0.0,neutral_info,0,False,0,0
I want composure back,0.0,agency,1,False,0,0
why does my past still affect me,0.0,neutral_info,0,False,0,0
old stress still running my life,1.5,distress,0,False,0,1
how to stop past from controlling present,0.0,agency,3,False,0,0
emotional baggage that won't leave,0.0,neutral_info,0,False,0,0
why do I keep replaying old events,0.0,neutral_info,0,False,0,0
past trauma responses in daily life,0.0,neutral_info,0,False,0,0
how to let go of past stress reactions,1.5,constructive_pain,1,False,0,1
stuck in old emotional patterns,1.5,distress,0,False,0,1
why do old memories still hurt,0.0,neutral_info,0,False,0,0
past still triggers me today,1.5,distress,0,False,0,1
how to stop living in the past emotionally,0.0,agency,2,False,0,0
old wounds affecting current relationships,0.0,neutral_info,0,False,0,0
why can't I move on from past stress,1.5,distress,0,False,0,1
emotional residue from past events,0.0,neutral_info,0,False,0,0
how past pain shows up in present reactions,0.0,neutral_info,0,False,0,0
something from years ago still runs my reactions,0.0,neutral_info,0,False,0,0
I thought I was over it but it still triggers me,1.5,distress,0,False,0,1
old stress comes back in new situations,1.5,distress,0,False,0,1
I react like the past is happening again,0.0,neutral_info,0,False,0,0
my present is controlled by old unresolved stress,1.5,constructive_pain,1,False,0,1
I keep repeating the same emotional pattern,0.0,neutral_info,0,False,0,0
the past is still in my body somehow,0.0,neutral_info,0,False,0,0
I want to stop being run by old events,0.0,agency,1,False,0,0
certain situations bring back old feelings instantly,0.0,neutral_info,0,False,0,0
I know it's the past but it feels current,0.0,neutral_info,0,False,0,0
past stress still affecting me South Africa,1.5,distress,0,True,0,1
emotional baggage Johannesburg,0.0,neutral_info,0,True,0,0
can't move on from past Cape Town,0.0,neutral_info,0,True,0,0
why does the past keep coming back,0.0,neutral_info,0,False,0,0
how to stop past triggers,1.5,constructive_pain,2,False,0,1
can old stress still control you years later,1.5,constructive_pain,1,False,0,1
how to clear emotional residue from the past,0.0,agency,1,False,0,0
I'm tired of the past running me,1.5,distress,0,False,0,1
I want my present back,0.0,neutral_info,0,False,0,0
old pain still has power over me,0.0,neutral_info,0,False,0,0
why do I sabotage myself near success,1.5,distress,0,False,0,1
self sabotage patterns high achievers,1.5,distress,0,False,0,1
why do I get in my own way,0.0,neutral_info,0,False,0,0
blocked potential self help,1.5,constructive_pain,1,False,0,1
how to stop self sabotaging,0.0,agency,2,False,0,0
fear of success self sabotage,1.5,distress,0,False,0,1
why do I procrastinate on important goals,0.0,neutral_info,0,False,0,0
self defeating behaviour patterns,0.0,neutral_info,0,False,0,0
why do I ruin good opportunities,0.0,neutral_info,0,False,0,0
internal blocks to success,0.0,neutral_info,0,False,0,0
how to stop undercutting myself,0.0,agency,2,False,0,0
self sabotage after progress,1.5,distress,0,False,0,1
why do I freeze when things go well,0.0,neutral_info,0,False,0,0
hidden resistance to my own goals,0.0,neutral_info,0,False,0,0
why am I my own worst enemy,0.0,neutral_info,0,False,0,0
every time I get close to success I mess it up,0.0,neutral_info,0,False,0,0
I set goals then undermine them,0.0,neutral_info,0,False,0,0
I know what to do but I don't do it,0.0,neutral_info,0,False,0,0
something in me resists my own progress,0.0,neutral_info,0,False,0,0
I achieve then collapse the win,3.0,distress,0,False,1,0
I talk myself out of good opportunities,0.0,neutral_info,0,False,0,0
I feel blocked by something I can't name,1.5,distress,0,False,0,1
I want success but part of me fights it,0.0,neutral_info,0,False,0,0
I keep repeating the same self defeating cycle,0.0,neutral_info,0,False,0,0
I'm capable but I don't operate at my level,0.0,agency,1,False,0,0
self sabotage Johannesburg professionals,1.5,distress,0,True,0,1
blocked potential Cape Town,1.5,distress,0,True,0,1
why do I get in my own way Gauteng,0.0,neutral_info,0,True,0,0
why do I sabotage my own success,1.5,distress,0,False,0,1
how to stop being my own obstacle,0.0,agency,2,False,0,0
what causes self sabotage in high performers,1.5,constructive_pain,1,False,0,1
how to break self defeating patterns,0.0,agency,1,False,0,0
I'm frustrated with myself not only others,1.5,distress,0,False,0,1
I know I'm capable of more,0.0,agency,1,False,0,0
I feel like something is holding me back from inside,0.0,neutral_info,0,False,0,0
emotional burnout from helping everyone,1.5,distress,0,False,0,1
people pleasing exhaustion,1.5,distress,0,False,0,1
carrying everyone else's emotions,0.0,neutral_info,0,False,0,0
compassion fatigue self help,1.5,constructive_pain,1,False,0,1
burned out from being the strong one,0.0,neutral_info,0,False,0,0
how to stop absorbing other people's stress,1.5,constructive_pain,2,False,0,1
relationship burnout high empathy,1.5,distress,0,False,0,1
tired of being everyone's support,1.5,distress,0,False,0,1
emotional labour burnout,1.5,distress,0,False,0,1
how to set boundaries without guilt,0.0,agency,1,False,0,0
drained by other people's problems,3.0,distress,0,False,1,0
caregiver burnout emotional,1.5,distress,0,False,0,1
why am I exhausted by people,3.0,distress,0,False,1,0
need recovery from people load,1.5,constructive_pain,1,False,0,1
empath burnout recovery,1.5,constructive_pain,1,False,0,1
I carry everyone and have nothing left for myself,3.0,distress,0,False,1,0
people drain me and I don't know how to stop it,0.0,agency,2,False,0,0
I'm the strong one and I'm collapsing,0.0,neutral_info,0,False,0,0
I absorb stress from my partner and family,1.5,distress,0,False,0,1
I can't switch off from other people's emotions,0.0,neutral_info,0,False,0,0
I'm burned out from being needed all the time,0.0,neutral_info,0,False,0,0
I help everyone else and neglect my own recovery,0.0,agency,1,False,0,0
relationships feel heavy instead of supportive,0.0,neutral_info,0,False,0,0
I need boundaries but feel guilty setting them,0.0,neutral_info,0,False,0,0
I'm exhausted by the emotional load at home,4.5,distress,0,False,1,1
people load burnout Johannesburg,3.0,distress,0,True,0,2
emotional exhaustion from family Cape Town,1.5,distress,0,True,0,1
relationship burnout Durban,1.5,distress,0,True,0,1
why am I so drained by people,3.0,distress,0,False,1,0
how to stop carrying everyone else's emotions,0.0,agency,2,False,0,0
is it normal to feel burned out by relationships,0.0,neutral_info,0,False,0,0
how to recover from being the strong one,0.0,agency,2,False,0,0
I have nothing left to give,3.0,distress,0,False,1,0
I'm tired of being strong for everyone,1.5,distress,0,False,0,1
I need space but can't ask for it,0.0,neutral_info,0,False,0,0
why do I feel numb after stress,4.5,distress,0,False,1,1
emotional numbness self help,3.0,constructive_pain,1,False,1,0
I feel nothing anymore,0.0,neutral_info,0,False,0,0
shutdown after overload,4.5,distress,0,False,1,1
emotional flatness high achievers,1.5,distress,0,False,0,1
why am I emotionally disconnected,0.0,neutral_info,0,False,0,0
can't feel joy or sadness,0.0,neutral_info,0,False,0,0
dissociation after chronic stress,1.5,distress,0,False,0,1
why do I feel foggy and flat,4.5,distress,0,False,1,1
emotional shutdown recovery,3.0,constructive_pain,1,False,1,0
feel empty inside despite success,3.0,distress,0,False,1,0
numbness instead of emotions,3.0,distress,0,False,1,0
why can't I feel things properly,0.0,neutral_info,0,False,0,0
flat affect after burnout,3.0,distress,0,False,0,2
how to feel alive again after stress,1.5,constructive_pain,1,False,0,1
I used to feel a lot now I feel nothing,0.0,neutral_info,0,False,0,0
stress made me shut down emotionally,1.5,distress,0,False,0,1
I'm functional but empty inside,3.0,distress,0,False,1,0
I can't access my emotions anymore,0.0,neutral_info,0,False,0,0
everything feels muted and distant,0.0,neutral_info,0,False,0,0
I want to feel again but I don't know how,0.0,neutral_info,0,False,0,0
I go through the motions without feeling,0.0,neutral_info,0,False,0,0
joy doesn't register the way it used to,0.0,neutral_info,0,False,0,0
I'm present physically but checked out inside,0.0,neutral_info,0,False,0,0
numbness is my default now,3.0,distress,0,False,1,0
emotional numbness Johannesburg,3.0,distress,0,True,1,0
feel nothing after burnout Cape Town,1.5,distress,0,True,0,1
emotional shutdown Sandton professionals,3.0,distress,0,True,1,0
why do I feel emotionally numb,3.0,distress,0,False,1,0
how to recover from emotional shutdown,3.0,constructive_pain,2,False,1,0
is numbness a sign of burnout,4.5,distress,0,False,1,1
how to feel again after chronic stress,1.5,constructive_pain,1,False,0,1
I miss feeling things,0.0,neutral_info,0,False,0,0
I'm worried I've lost myself,0.0,neutral_info,0,False,0,0
empty is my normal now,3.0,distress,0,False,1,0
successful but empty inside,3.0,distress,0,False,1,0
achieved goals still unsatisfied,0.0,neutral_info,0,False,0,0
why am I unhappy despite success,0.0,neutral_info,0,False,0,0
high achiever emptiness,0.0,neutral_info,0,False,0,0
hollow success feeling,3.0,distress,0,False,1,0
why doesn't success make me happy,0.0,neutral_info,0,False,0,0
mid career emptiness,0.0,neutral_info,0,False,0,0
accomplished but unfulfilled,0.0,neutral_info,0,False,0,0
success without satisfaction,0.0,neutral_info,0,False,0,0
why do I feel empty after winning,3.0,distress,0,False,1,0
prestige without meaning,0.0,neutral_info,0,False,0,0
career success personal emptiness,0.0,neutral_info,0,False,0,0
why am I not enjoying what I built,0.0,neutral_info,0,False,0,0
empty at the top self help,3.0,constructive_pain,1,False,1,0
high performer lack of fulfillment,0.0,agency,1,False,0,0
I have what I wanted and I still feel empty,3.0,distress,0,False,1,0
my life looks successful and feels hollow,3.0,distress,0,False,1,0
I achieved the goals and the satisfaction didn't come,0.0,neutral_info,0,False,0,0
I'm respected at work and empty at home,3.0,distress,0,False,1,0
success didn't fix the internal emptiness,0.0,neutral_info,0,False,0,0
I keep achieving and still feel like something is missing,0.0,neutral_info,0,False,0,0
people envy my life and I feel nothing about it,0.0,neutral_info,0,False,0,0
I want meaning not only more success,0.0,neutral_info,0,False,0,0
I've checked all the boxes and still feel lost,0.0,neutral_info,0,False,0,0
external success internal vacancy,0.0,neutral_info,0,False,0,0
successful but empty Johannesburg,3.0,distress,0,True,1,0
high achiever emptiness Sandton,0.0,neutral_info,0,True,0,0
career success no fulfillment Cape Town,0.0,neutral_info,0,True,0,0
hollow success Gauteng professionals,3.0,distress,0,True,1,0
why do successful people feel empty,3.0,distress,0,False,1,0
how to find fulfillment after career success,0.0,agency,1,False,0,0
is it normal to feel empty despite achievements,3.0,distress,0,False,1,0
what causes emptiness after reaching goals,0.0,neutral_info,0,False,0,0
I thought success would be enough,0.0,neutral_info,0,False,0,0
I have everything and feel nothing,0.0,neutral_info,0,False,0,0
I'm searching for something success didn't give me,0.0,neutral_info,0,False,0,0
why am I so irritable all the time,1.5,constructive_pain,1,False,0,1
short fuse under stress,1.5,distress,0,False,0,1
how to stop being so irritable,1.5,constructive_pain,3,False,0,1
irritability after chronic stress,1.5,distress,0,False,0,1
snap at everyone then regret it,6.0,high_distress,0,False,2,0
short temper recovery,0.0,agency,1,False,0,0
why do I have no patience anymore,3.0,distress,0,False,1,0
irritable with family after work,1.5,constructive_pain,1,False,0,1
low frustration tolerance adults,0.0,neutral_info,0,False,0,0
how to lengthen my fuse,0.0,agency,1,False,0,0
chronic irritability self help,0.0,agency,1,False,0,0
why small things annoy me so much,0.0,neutral_info,0,False,0,0
irritability and mental exhaustion,1.5,distress,0,False,0,1
stop being snappy with loved ones,3.0,constructive_pain,1,False,1,0
regain patience under load,1.5,constructive_pain,1,False,0,1
I have no patience left for anyone,3.0,distress,0,False,1,0
I snap at my partner over nothing,3.0,distress,0,False,1,0
my fuse is so short I scare myself,0.0,neutral_info,0,False,0,0
I used to be patient now everything annoys me,0.0,neutral_info,0,False,0,0
after work I can't tolerate any noise or requests,0.0,neutral_info,0,False,0,0
I'm irritable from the moment I wake up,1.5,constructive_pain,1,False,0,1
my family gets the worst version of me,0.0,neutral_info,0,False,0,0
I hate how short tempered I've become,0.0,neutral_info,0,False,0,0
stress has destroyed my patience,4.5,distress,0,False,1,1
I need my calm back,0.0,neutral_info,0,False,0,0
irritability Johannesburg professionals,0.0,neutral_info,0,True,0,0
short fuse after work Cape Town,0.0,neutral_info,0,True,0,0
no patience left Durban,3.0,distress,0,True,1,0
why am I so irritable,1.5,constructive_pain,1,False,0,1
what causes chronic irritability in adults,0.0,neutral_info,0,False,0,0
how to recover patience after burnout,1.5,constructive_pain,2,False,0,1
I don't like who I am when stressed,1.5,distress,0,False,0,1
my temper is hurting my relationships,0.0,neutral_info,0,False,0,0
I want to be easy to live with again,0.0,neutral_info,0,False,0,0
can't stop overthinking,4.5,constructive_pain,1,False,1,1
rumination how to stop,1.5,constructive_pain,2,False,0,1
mental noise won't quiet,0.0,neutral_info,0,False,0,0
replaying conversations in my head,0.0,neutral_info,0,False,0,0
how to stop mental loops,0.0,agency,2,False,0,0
overthinking at night,1.5,distress,0,False,0,1
can't switch mind off,0.0,neutral_info,0,False,0,0
racing thoughts self help,0.0,agency,1,False,0,0
mental chatter constant,0.0,neutral_info,0,False,0,0
how to quiet the mind without meditation only,0.0,agency,1,False,0,0
stuck in thought loops,1.5,distress,0,False,0,1
overthinking decisions endlessly,1.5,distress,0,False,0,1
mental replay of past events,0.0,neutral_info,0,False,0,0
can't stop analysing everything,3.0,constructive_pain,1,False,1,0
noisy mind recovery,0.0,agency,1,False,0,0
my mind won't stop replaying the day,0.0,agency,1,False,0,0
I overthink every conversation for hours,0.0,neutral_info,0,False,0,0
I can't get mental silence,0.0,neutral_info,0,False,0,0
thoughts loop until I feel exhausted,3.0,distress,0,False,1,0
I analyse everything until it hurts,0.0,neutral_info,0,False,0,0
my brain won't shut up at night,0.0,neutral_info,0,False,0,0
I want mental quiet not only distraction,0.0,neutral_info,0,False,0,0
overthinking is draining my energy,1.5,distress,0,False,0,1
I live in my head more than in the present,0.0,neutral_info,0,False,0,0
I need tools for mental noise,0.0,agency,1,False,0,0
overthinking Johannesburg,1.5,distress,0,True,0,1
can't switch mind off Cape Town,0.0,neutral_info,0,True,0,0
mental noise Sandton executives,0.0,agency,1,True,0,0
why can't I stop overthinking,1.5,constructive_pain,1,False,0,1
how to quiet mental chatter,0.0,agency,1,False,0,0
what causes constant rumination,1.5,distress,0,False,0,1
how to stop replaying conversations,0.0,agency,2,False,0,0
I'm exhausted by my own thoughts,3.0,distress,0,False,1,0
I want my mind back,0.0,neutral_info,0,False,0,0
silence feels impossible,0.0,neutral_info,0,False,0,0
burned out but can't quit job South Africa,0.0,neutral_info,0,True,0,0
trapped in stressful job for money,4.5,distress,0,False,1,1
can't afford to leave toxic work,0.0,neutral_info,0,False,0,0
work stress financial pressure South Africa,3.0,distress,0,True,0,2
burnout with no exit options,1.5,distress,0,False,0,1
stuck in high stress career SA,3.0,distress,0,False,0,2
load shedding stress and work pressure,4.5,distress,0,True,0,3
financial stress plus job burnout,3.0,distress,0,False,0,2
can't rest because of money pressure,1.5,distress,0,False,0,1
survival stress South Africa professionals,1.5,distress,0,True,0,1
Joburg cost of living work stress,1.5,distress,0,True,0,1
pressure to provide and personal burnout,3.0,distress,0,False,0,2
no safety net job stress SA,1.5,distress,0,False,0,1
working under constant economic pressure,1.5,distress,0,False,0,1
stress from load shedding and deadlines,3.0,distress,0,True,0,2
I can't quit but I can't keep going like this,0.0,neutral_info,0,False,0,0
money keeps me in a job that's burning me out,0.0,neutral_info,0,False,0,0
load shedding makes every day harder and I still have to deliver,1.5,distress,0,True,0,1
I provide for everyone and I'm empty,3.0,distress,0,False,1,0
economic pressure means I have no recovery time,1.5,constructive_pain,1,False,0,1
I feel trapped between burnout and financial responsibility,4.5,distress,0,False,1,1
SA cost of living plus work stress is crushing me,1.5,distress,0,False,0,1
I need internal tools because I can't change the external pressure yet,1.5,constructive_pain,1,False,0,1
I survive the month and pay with my health,0.0,neutral_info,0,False,0,0
I'm burned out in a system that doesn't let me rest,0.0,neutral_info,0,False,0,0
work stress Johannesburg cost of living,1.5,distress,0,True,0,1
burnout can't quit Cape Town,1.5,distress,0,True,0,1
financial and job stress Durban,1.5,distress,0,True,0,1
Gauteng professional trapped stress,4.5,distress,0,True,1,1
Sandton pressure burnout,3.0,distress,0,True,0,2
Randburg work and money stress,1.5,distress,0,True,0,1
how to cope with burnout when you can't quit,1.5,constructive_pain,1,False,0,1
what helps work stress when money is tight,1.5,distress,0,False,0,1
how to handle load shedding stress at work,3.0,constructive_pain,1,True,0,2
how to recover while still in a high pressure job,1.5,constructive_pain,2,False,0,1
I feel trapped,3.0,distress,0,False,1,0
external pressure never stops,1.5,constructive_pain,1,False,0,1
I need leverage inside myself,0.0,neutral_info,0,False,0,0
reactive mind explained simply,1.5,distress,0,False,0,1
what is the reactive mind,1.5,distress,0,False,0,1
why do I react without thinking,0.0,neutral_info,0,False,0,0
stored stress reactions,1.5,distress,0,False,0,1
hidden stress running my behaviour,1.5,distress,0,False,0,1
why do I react automatically under pressure,1.5,distress,0,False,0,1
stress recordings in the mind,1.5,distress,0,False,0,1
how past stress creates present reactions,1.5,distress,0,False,0,1
analytical mind vs reactive responses,1.5,distress,0,False,0,1
why logic fails when I'm triggered,1.5,distress,0,False,0,1
unwanted reactions I can't control,0.0,agency,1,False,0,0
something else is running my reactions,0.0,neutral_info,0,False,0,0
automatic stress responses,1.5,distress,0,False,0,1
why do I lose control under stress,1.5,constructive_pain,1,False,0,1
internal stress mechanisms,1.5,distress,0,False,0,1
I react before I can think,0.0,neutral_info,0,False,0,0
something takes over when I'm stressed,1.5,distress,0,False,0,1
my rational mind goes offline under pressure,1.5,distress,0,False,0,1
I know better but I still react the same way,0.0,neutral_info,0,False,0,0
it feels like I'm not fully in control,0.0,agency,1,False,0,0
automatic reactions I don't choose,0.0,neutral_info,0,False,0,0
Dianetics self help book,0.0,agency,1,False,0,0
Dianetics modern science of mental health,0.0,neutral_info,0,False,0,0
Dianetics for stress and reactions,1.5,distress,0,False,0,1
self help book for emotional reactions,0.0,agency,1,False,0,0
book for understanding stress reactions,1.5,distress,0,False,0,1
best self help book for burnout,1.5,constructive_pain,1,False,0,1
self help book for emotional control,0.0,agency,2,False,0,0
book to understand why I overreact,1.5,distress,0,False,0,1
self improvement book for high performers,0.0,agency,1,False,0,0
practical self help for stress reactions,1.5,constructive_pain,2,False,0,1
book for executive burnout recovery,1.5,constructive_pain,2,False,0,1
self help when therapy isn't enough,0.0,agency,1,False,0,0
structured self help for emotional patterns,0.0,agency,1,False,0,0
book about the reactive mind,1.5,distress,0,False,0,1
Dianetics book South Africa,0.0,neutral_info,0,True,0,0
buy Dianetics South Africa,0.0,neutral_info,0,True,0,0
Dianetics Instant EFT,0.0,neutral_info,0,False,0,0
self mastery book South Africa,0.0,agency,1,True,0,0
I need a practical tool not only talk,0.0,agency,1,False,0,0
I want a structured method to understand my reactions,0.0,neutral_info,0,False,0,0
looking for a self help system that explains the mechanism,0.0,agency,1,False,0,0
burnout recovery Johannesburg,1.5,constructive_pain,1,True,0,1
work stress Johannesburg,1.5,distress,0,True,0,1
emotional resilience Johannesburg,0.0,agency,1,True,0,0
self mastery Johannesburg,0.0,agency,1,True,0,0
high performer stress Johannesburg,1.5,constructive_pain,1,True,0,1
mental exhaustion Johannesburg,1.5,distress,0,True,0,1
stress recovery Johannesburg,1.5,constructive_pain,1,True,0,1
professional burnout Johannesburg,1.5,distress,0,True,0,1
executive burnout Joburg,1.5,constructive_pain,1,True,0,1
burnout recovery Joburg,1.5,constructive_pain,1,True,0,1
work stress Joburg,1.5,distress,0,True,0,1
emotional resilience Joburg,0.0,agency,1,True,0,0
self mastery Joburg,0.0,agency,1,True,0,0
stop overreacting Joburg,1.5,constructive_pain,1,True,0,1
high performer stress Joburg,1.5,constructive_pain,1,True,0,1
mental exhaustion Joburg,1.5,distress,0,True,0,1
stress recovery Joburg,1.5,constructive_pain,1,True,0,1
professional burnout Joburg,1.5,distress,0,True,0,1
executive burnout JHB,1.5,constructive_pain,1,False,0,1
burnout recovery JHB,1.5,constructive_pain,1,False,0,1
work stress JHB,1.5,distress,0,False,0,1
emotional resilience JHB,0.0,agency,1,False,0,0
self mastery JHB,0.0,agency,1,False,0,0
stop overreacting JHB,1.5,constructive_pain,1,False,0,1
high performer stress JHB,1.5,constructive_pain,1,False,0,1
mental exhaustion JHB,1.5,distress,0,False,0,1
stress recovery JHB,1.5,constructive_pain,1,False,0,1
professional burnout JHB,1.5,distress,0,False,0,1
executive burnout Sandton,1.5,constructive_pain,1,True,0,1
burnout recovery Sandton,1.5,constructive_pain,1,True,0,1
work stress Sandton,1.5,distress,0,True,0,1
emotional resilience Sandton,0.0,agency,1,True,0,0
self mastery Sandton,0.0,agency,1,True,0,0
stop overreacting Sandton,1.5,constructive_pain,1,True,0,1
high performer stress Sandton,1.5,constructive_pain,1,True,0,1
mental exhaustion Sandton,1.5,distress,0,True,0,1
stress recovery Sandton,1.5,constructive_pain,1,True,0,1
professional burnout Sandton,1.5,distress,0,True,0,1
executive burnout Randburg,1.5,constructive_pain,1,True,0,1
burnout recovery Randburg,1.5,constructive_pain,1,True,0,1
work stress Randburg,1.5,distress,0,True,0,1
emotional resilience Randburg,0.0,agency,1,True,0,0
